compound_name,label,MW,LogP,HBD,TPSA,RingCount,RotBonds
tocris-2141,1,329.371,3.327,1.0,39.72,4.0,4.0
"(2e,3e)-2,3-bis[(4-hydroxyphenyl)methylidene]butanedinitrile",0,288.306,3.612,2.0,88.04,2.0,3.0
unii-4rh62fxm4m,1,357.772,2.895,1.0,76.69,3.0,3.0
rasagiline,1,172.231,1.787,1.0,35.82,2.0,2.0
pemoline,1,176.175,0.599,1.0,64.68,2.0,1.0
unii-5359i0ru7w,1,266.3,1.65,1.0,63.4,3.0,3.0
(s)-oxiracetam,1,158.157,-1.935,2.0,83.63,1.0,2.0
carumonam,0,466.41,-2.876,5.0,253.9,2.0,9.0
87638-04-8,0,466.41,-2.876,5.0,253.9,2.0,9.0
zinc136,1,245.662,1.175,2.0,81.78,1.0,5.0
schembl4492294,1,129.159,0.041,1.0,52.32,1.0,1.0
"(3s)-3-[di(cyclobutyl)amino]-8-fluoro-3,4-dihydro-2h-chromene-5-carboxamide",1,318.392,2.635,1.0,55.56,4.0,4.0
cas-36791-04-5,1,244.207,-3.011,4.0,143.72,2.0,3.0
bidd:gt0539,0,213.281,0.336,2.0,82.86,2.0,2.0
zinc100232307,1,416.359,1.894,2.0,101.45,5.0,3.0
,0,585.608,-8.424,13.0,331.94,3.0,10.0
,0,552.626,-6.399,11.0,297.27,3.0,10.0
,0,571.625,-7.951,13.0,314.87,3.0,11.0
seproxetine,1,295.304,4.174,1.0,35.25,2.0,5.0
(s)-noradrenaline,0,169.18,0.09,4.0,86.71,1.0,2.0
(s)-norfenefrine,0,153.181,0.384,3.0,66.48,1.0,2.0
(s)-nebracetam,1,204.273,0.994,1.0,46.33,2.0,3.0
,0,451.521,-5.267,9.0,247.94,3.0,6.0
,0,614.65,-8.895,13.0,353.11,4.0,9.0
,0,322.362,-5.116,8.0,203.46,2.0,3.0
,0,484.503,-7.291,11.0,282.61,3.0,6.0
,0,467.52,-6.296,10.0,268.17,3.0,6.0
,0,483.519,-7.325,11.0,288.4,3.0,6.0
,0,557.598,-8.341,13.0,314.87,3.0,10.0
schembl10760133,0,519.565,-0.71,4.0,193.63,4.0,10.0
bipenamol,1,245.347,2.789,2.0,46.25,2.0,4.0
schembl25493,0,380.662,0.821,3.0,118.36,2.0,2.0
zinc1842729,1,364.81,2.035,1.0,97.54,3.0,3.0
benserazide,0,257.246,-1.756,7.0,148.07,1.0,5.0
oxitriptan,1,220.228,0.828,4.0,99.34,2.0,3.0
melphalan,0,305.205,1.925,2.0,66.56,1.0,8.0
,0,462.513,0.041,5.0,174.53,4.0,7.0
,0,349.774,0.711,3.0,112.73,3.0,4.0
schembl8478823,0,367.814,0.621,3.0,112.73,3.0,4.0
"(1s,2s)-2-phenylcyclopentanamine",1,161.248,2.281,1.0,26.02,2.0,1.0
l-cycloserine,1,102.093,-1.625,2.0,64.35,1.0,0.0
tranylcypromine,1,133.194,1.501,1.0,26.02,2.0,1.0
velnacrine,1,214.268,2.187,2.0,59.14,3.0,0.0
unii-2v4m6abh0v,1,349.862,2.535,2.0,67.59,5.0,5.0
,1,444.526,3.068,3.0,91.48,4.0,6.0
,1,241.247,-1.286,3.0,110.6,2.0,3.0
.beta.-l-xylo-c,1,243.219,-2.563,4.0,130.83,2.0,2.0
,0,410.433,-0.048,4.0,162.92,3.0,6.0
,0,410.433,-0.048,4.0,162.92,3.0,6.0
zinc3830565,1,285.691,-0.297,3.0,119.31,3.0,2.0
ncgc00164560-01,1,286.339,1.092,3.0,101.88,4.0,4.0
levoleucovorin,1,473.446,-0.731,7.0,219.84,3.0,10.0
buciclovir,1,239.235,-1.555,4.0,130.05,2.0,4.0
l-adenosine,1,267.245,-1.98,4.0,139.54,3.0,2.0
(s)-praziquantel,1,312.413,2.535,0.0,40.62,4.0,1.0
azabuperone,1,290.382,2.569,0.0,23.55,3.0,5.0
einecs 255-630-0,1,391.49,4.012,1.0,39.34,5.0,5.0
,1,361.485,4.334,1.0,40.54,5.0,3.0
omiloxetine,1,465.496,5.061,0.0,48.0,5.0,7.0
(s)-pazinaclone,1,478.936,3.74,0.0,84.86,6.0,3.0
chembl308915,0,416.349,1.108,2.0,67.25,3.0,6.0
brl-52974,0,393.318,3.481,1.0,52.23,4.0,4.0
chembl71759,0,409.317,2.452,2.0,72.46,4.0,4.0
brl-53080,1,409.382,4.819,0.0,23.55,4.0,4.0
,1,409.313,3.322,1.0,56.92,4.0,4.0
chembl71323,1,393.318,3.412,0.0,41.37,4.0,4.0
chembl68769,0,409.317,2.382,1.0,61.6,4.0,4.0
chembl71781,1,394.306,2.807,0.0,54.26,4.0,4.0
schembl11523038,0,437.528,0.94,3.0,128.28,4.0,7.0
schembl11033793,0,440.492,-0.944,2.0,156.09,4.0,7.0
dextramycin,0,323.132,0.909,3.0,112.7,1.0,6.0
,0,542.577,-0.917,4.0,204.91,4.0,9.0
"5-[(3as,4s,6as)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid",1,244.316,0.797,3.0,78.43,2.0,5.0
(s)-cetirizine,0,388.895,3.148,1.0,53.01,3.0,8.0
zinc1530605,0,468.37,2.115,3.0,173.71,4.0,8.0
(s)-3-(benzoyloxy)quinuclidine,1,231.295,1.938,0.0,29.54,4.0,2.0
phenyl salicylate,1,214.22,2.611,1.0,46.53,2.0,2.0
,1,419.529,1.598,0.0,69.64,7.0,6.0
binospirone,1,358.438,2.125,1.0,67.87,4.0,5.0
,1,278.739,1.642,2.0,50.36,4.0,0.0
sunepitron,1,329.404,0.526,0.0,69.64,4.0,3.0
naltrexone-hcl,1,341.407,1.525,2.0,70.0,6.0,2.0
(s)-rofelodine,1,214.268,1.805,0.0,32.67,3.0,1.0
schembl9734362,1,196.25,0.277,1.0,49.41,2.0,1.0
"(2s)-5-oxo-n-[(1s,2s)-2-phenylcyclopropyl]pyrrolidine-2-carboxamide",1,244.294,0.937,2.0,58.2,3.0,3.0
,1,311.425,3.04,1.0,40.54,5.0,2.0
,1,276.292,-0.177,1.0,83.55,4.0,1.0
(s)-thalidomide,1,258.233,0.088,1.0,83.55,3.0,1.0
unii-37z869546b,1,335.791,0.614,1.0,69.72,3.0,3.0
unii-7w3a3ukf2e,1,140.142,-0.935,1.0,49.41,2.0,0.0
zinc608045,1,362.788,2.016,2.0,73.13,3.0,4.0
unii-9zrt68876r,1,254.083,1.579,1.0,46.17,2.0,1.0
,1,272.351,-0.346,1.0,60.85,4.0,1.0
zinc33903607,1,385.678,3.008,2.0,52.57,3.0,3.0
zinc190,1,216.24,1.392,1.0,50.69,3.0,2.0
unii-6dzb018428 component ugzakkmlmjitll-lbprgkrzsa-n,1,301.346,0.823,3.0,87.3,3.0,3.0
chembl71529,0,439.343,2.201,2.0,81.75,4.0,4.0
,1,221.643,1.254,1.0,46.17,3.0,1.0
fosphenytoin,1,346.279,1.617,3.0,106.94,3.0,4.0
unii-l2gwr3us1g component qqwlxnmppfcvcd-vifpvbqesa-n,1,280.305,0.11,1.0,83.55,3.0,1.0
azaloxan,1,331.416,1.706,1.0,54.04,4.0,4.0
zinc58438005,1,182.248,0.509,2.0,41.13,2.0,1.0
spiroxatrine,1,379.46,2.255,1.0,54.04,5.0,3.0
mosapramine,1,479.068,4.743,1.0,38.82,6.0,4.0
chlorthenoxazine,1,211.648,1.764,1.0,38.33,2.0,2.0
efavirenz,0,315.678,4.073,1.0,38.33,3.0,0.0
(s)-lorazepam,1,321.163,3.101,2.0,61.69,3.0,1.0
schembl1041963,1,322.151,2.496,2.0,74.58,3.0,1.0
(s)-furomazine,1,459.011,4.723,1.0,53.01,5.0,5.0
l-isoascorbic acid,1,176.124,-1.407,4.0,107.22,1.0,2.0
unii-5efs516hk3,1,348.761,1.974,2.0,73.13,3.0,3.0
"(2s,6s)-4-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-4-azatricyclo[5.2.1.02,6]decane-3,5-dione",1,383.496,1.41,0.0,69.64,5.0,6.0
zinc100029668,1,426.586,3.374,0.0,56.75,5.0,6.0
,1,488.053,4.908,1.0,65.64,5.0,7.0
,1,278.337,1.476,1.0,80.42,2.0,7.0
,1,357.233,2.238,1.0,80.42,2.0,7.0
schembl18401354,1,189.146,0.122,1.0,81.19,1.0,4.0
,1,219.172,0.096,1.0,90.42,1.0,6.0
schembl4854536,0,246.194,-1.684,3.0,104.55,2.0,2.0
(s)-axamozide,1,399.878,3.46,1.0,59.49,5.0,3.0
,1,379.435,2.564,1.0,58.1,5.0,4.0
zinc13827997,0,236.231,-0.211,2.0,93.03,3.0,2.0
"(1s,9s)-5-bromo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",1,269.142,1.317,1.0,34.03,3.0,0.0
"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2s,3s,4s,5s,6s)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",0,464.379,-0.539,8.0,210.51,4.0,4.0
cytisine,0,190.246,0.555,1.0,34.03,3.0,0.0
,1,269.142,1.276,1.0,34.03,3.0,0.0
yridine,1,244.203,-2.852,4.0,124.78,2.0,2.0
,1,301.389,4.121,1.0,33.12,4.0,4.0
zinc633,1,267.372,3.065,2.0,32.26,3.0,3.0
ciclazindol,1,298.773,3.198,1.0,35.83,4.0,1.0
"2,2,2-tribromoethanol",1,282.757,1.817,1.0,20.23,0.0,0.0
cis-piflutixol,1,451.529,6.225,1.0,23.47,4.0,5.0
unii-jc6360h11t,1,417.018,4.717,1.0,26.71,4.0,7.0
homopipramol,1,377.532,3.699,1.0,29.95,4.0,6.0
chembl12628,1,408.439,4.031,1.0,26.71,4.0,4.0
unii-1o8a15g935 component bjwapforupuxrj-sfhvurjksa-n,1,454.533,4.831,1.0,26.71,4.0,6.0
zinc22588438,1,418.965,3.073,1.0,45.17,3.0,11.0
zinc14649463,1,268.273,-0.989,4.0,112.13,3.0,2.0
,1,309.529,-0.463,3.0,88.38,2.0,2.0
l-mannitol,0,182.172,-3.585,6.0,121.38,0.0,5.0
zinc2539624,1,286.28,-1.642,5.0,119.61,2.0,4.0
,1,339.826,2.619,2.0,47.86,4.0,4.0
flutroline,1,450.504,5.92,1.0,28.4,5.0,6.0
perisoxal,1,272.348,2.861,1.0,49.5,3.0,4.0
unii-u49lid4uyj component okackalpxhbema-xamccfcmsa-n,1,725.699,4.794,4.0,117.84,0.0,12.0
(+)-threo-mefloquine,1,378.316,4.448,2.0,45.15,3.0,2.0
unii-afh280ecx3,1,292.382,3.402,1.0,38.05,3.0,6.0
oxilorphan,1,313.441,2.976,2.0,43.7,5.0,2.0
torbugesic,1,327.468,3.366,2.0,43.7,5.0,2.0
,1,347.502,4.693,1.0,23.47,5.0,3.0
,1,243.35,2.738,2.0,32.26,4.0,0.0
,1,299.414,2.707,1.0,32.7,5.0,2.0
,1,271.316,0.856,3.0,61.72,5.0,0.0
,1,357.45,1.707,3.0,73.16,6.0,2.0
tifemoxone,1,223.297,1.729,1.0,30.49,2.0,3.0
zinc8214362,1,295.255,0.416,3.0,161.46,1.0,7.0
zinc19848892,1,262.356,3.597,2.0,27.82,4.0,2.0
chembl285367,1,335.447,4.325,0.0,21.7,5.0,3.0
chembl3707296,1,187.246,1.002,1.0,27.63,3.0,1.0
(s)-azaquinzole,1,188.274,1.189,1.0,15.27,3.0,0.0
taclamine [inn],1,289.422,4.458,0.0,3.24,5.0,0.0
sibopirdine,1,350.425,4.019,0.0,51.56,5.0,4.0
(s)-teniloxazine,1,289.4,2.706,1.0,30.49,3.0,5.0
dihydroergotamine,0,344.419,1.883,1.0,96.77,3.0,5.0
ciprofloxacin,0,418.323,3.868,1.0,93.81,4.0,2.0
tolbutamide,0,334.73,3.828,1.0,63.6,3.0,2.0
tranylcypromine,1,286.287,1.769,1.0,81.42,3.0,2.0
tolazamide,0,334.73,3.828,1.0,63.6,3.0,2.0
busulfan,1,436.961,3.502,2.0,98.49,3.0,5.0
cycloserine,1,359.831,2.348,1.0,89.54,2.0,4.0
temazepam,1,383.422,1.388,1.0,108.0,3.0,4.0
methyclothiazide,0,461.65,5.325,1.0,62.3,4.0,7.0
clonazepam,1,371.546,4.845,1.0,38.33,2.0,10.0
cefazolin,0,348.399,3.1,0.0,87.47,3.0,5.0
valproic acid,1,355.547,5.181,1.0,29.1,2.0,9.0
furosemide,0,359.459,1.693,1.0,84.89,4.0,4.0
piroxicam,0,160.289,-0.371,1.0,29.46,1.0,1.0
famotidine,1,382.573,5.283,1.0,32.34,3.0,7.0
rifampin,0,288.297,3.199,0.0,33.2,3.0,1.0
aminophylline,0,193.29,3.065,1.0,35.25,1.0,4.0
norethindrone,0,387.545,4.466,1.0,47.56,2.0,12.0
pentazocine,1,376.84,4.4,1.0,81.47,2.0,9.0
dacarbazine,1,342.216,2.337,2.0,68.76,2.0,6.0
prazosin,0,355.504,1.847,1.0,61.88,2.0,8.0
itraconazole,0,432.494,2.748,0.0,95.97,3.0,8.0
orphenadrine,1,419.886,3.361,0.0,93.46,3.0,6.0
fluphenazine,1,341.429,1.104,1.0,95.69,2.0,7.0
fluconazole,1,341.429,1.104,1.0,95.69,2.0,7.0
trihexyphenidyl,1,341.385,0.576,1.0,104.92,3.0,5.0
amphotericin b,0,359.447,2.195,1.0,86.46,3.0,5.0
scopolamine,0,327.358,0.186,1.0,104.92,3.0,4.0
testolactone,0,397.387,1.183,1.0,112.39,4.0,3.0
procaine,1,391.763,2.375,1.0,103.92,4.0,3.0
efavirenz,0,343.47,1.515,1.0,78.62,2.0,7.0
hydrocodone,1,438.014,4.151,1.0,69.39,3.0,8.0
hydralazine,0,357.497,1.905,1.0,78.62,2.0,8.0
diazepam,1,313.419,1.187,1.0,78.62,2.0,7.0
mepenzolate,0,361.463,2.369,1.0,78.62,3.0,7.0
betahistine,1,375.877,3.826,0.0,67.16,3.0,6.0
methocarbamol,1,405.541,2.944,1.0,78.62,3.0,8.0
sparfloxacin,0,327.402,0.907,1.0,87.85,3.0,6.0
sotalol,1,327.402,0.907,1.0,87.85,3.0,6.0
trometamol,0,389.473,2.397,1.0,87.85,4.0,6.0
melphalan,0,361.463,2.369,1.0,78.62,3.0,7.0
colchicine,0,357.519,4.456,1.0,38.33,2.0,10.0
teniposide,1,357.519,4.623,1.0,38.33,2.0,9.0
primidone,1,362.813,4.01,1.0,81.47,2.0,8.0
trovafloxacin,1,418.559,4.139,1.0,75.71,2.0,9.0
trazodone,1,279.317,1.456,0.0,76.39,3.0,3.0
vancomycin,0,283.349,0.891,1.0,78.62,3.0,4.0
quinidine,1,235.308,1.727,0.0,57.93,2.0,3.0
hydroxyzine,1,299.417,1.498,1.0,69.39,2.0,5.0
zalcitabine,1,342.369,1.033,1.0,99.13,3.0,6.0
pimozide,1,274.769,1.849,1.0,54.37,2.0,4.0
thioridazine,1,304.327,1.349,0.0,100.18,3.0,3.0
topotecan,1,323.37,1.472,0.0,85.62,3.0,5.0
pyrazinamide,1,279.361,1.743,0.0,67.16,2.0,5.0
trimethoprim,1,317.389,2.192,2.0,88.25,2.0,8.0
methohexital,1,345.399,1.985,3.0,96.47,3.0,6.0
pyridostigmine bromide,1,346.814,4.746,1.0,72.24,2.0,5.0
quazepam,1,378.812,4.147,1.0,90.7,2.0,7.0
levodopa,1,532.465,4.231,1.0,86.79,2.0,10.0
saquinavir,0,416.587,4.342,1.0,66.48,2.0,7.0
flurazepam,1,327.493,5.053,1.0,29.1,2.0,7.0
oxacillin,0,357.519,4.813,1.0,38.33,2.0,8.0
desipramine,1,373.518,4.593,1.0,47.56,2.0,9.0
amphetamine,1,391.558,3.979,1.0,63.24,2.0,8.0
carbamazepine,1,327.493,5.052,1.0,29.1,2.0,6.0
triamterene,0,391.558,4.147,1.0,63.24,2.0,7.0
pyrimethamine,1,346.814,4.746,1.0,72.24,2.0,5.0
mannitol,0,424.009,7.13,1.0,29.1,3.0,7.0
sulfadiazine,1,326.396,4.401,1.0,72.24,2.0,5.0
pethidine,1,276.384,1.699,0.0,49.33,2.0,5.0
tibolone,1,355.486,2.49,1.0,63.05,3.0,6.0
triazolam,1,315.421,2.113,0.0,55.95,3.0,6.0
haloperidol,1,328.416,1.859,2.0,80.04,3.0,7.0
lidocaine,1,377.489,0.613,1.0,81.91,3.0,5.0
aciclovir,1,435.527,2.668,0.0,100.83,3.0,7.0
chlordiazepoxide,1,355.467,3.076,2.0,74.17,4.0,5.0
flumazenil,1,262.353,2.042,0.0,42.43,2.0,6.0
nafcillin,0,434.905,2.815,0.0,96.61,3.0,7.0
azithromycin,0,404.473,3.598,0.0,102.37,3.0,8.0
isoproterenol,0,409.555,3.285,1.0,52.65,4.0,5.0
demeclocycline,0,250.277,3.241,0.0,61.23,2.0,3.0
ethionamide,1,321.566,5.015,1.0,34.15,2.0,3.0
bethanechol,0,432.454,2.192,1.0,116.81,3.0,8.0
dicyclomine,0,678.694,3.978,2.0,171.2,7.0,8.0
erythromycin,0,476.528,3.579,2.0,127.2,3.0,8.0
nalidixic acid,1,419.386,1.342,2.0,133.38,3.0,6.0
naltrexone,1,347.323,1.268,3.0,125.92,2.0,5.0
dextromethorphan,1,467.518,3.007,3.0,118.22,3.0,9.0
enflurane,1,344.319,2.545,1.0,83.45,4.0,4.0
codeine,1,555.425,3.584,1.0,101.98,5.0,6.0
chloroquine,1,504.535,4.832,1.0,104.43,4.0,10.0
meloxicam,0,331.324,1.562,2.0,105.69,2.0,5.0
lomustine,1,670.624,1.202,4.0,250.3,3.0,16.0
chlorpromazine,1,311.334,1.56,2.0,105.69,1.0,6.0
epinephrine,0,458.514,4.054,2.0,101.65,4.0,7.0
hydrocortisone,0,409.778,1.944,2.0,124.15,3.0,5.0
methamphetamine,1,378.377,2.375,1.0,104.43,2.0,7.0
lamotrigine,1,550.564,2.559,1.0,129.67,6.0,7.0
salbutamol,0,518.61,3.945,1.0,101.98,5.0,7.0
enalapril,0,344.319,2.545,1.0,83.45,4.0,4.0
cocaine,1,555.425,3.584,1.0,101.98,5.0,6.0
clonidine,1,288.299,2.349,1.0,76.74,2.0,4.0
caffeine,1,332.312,0.957,2.0,118.58,2.0,5.0
ritonavir,0,375.425,1.76,1.0,97.8,3.0,6.0
perphenazine,1,475.497,3.612,2.0,118.97,4.0,7.0
mefenamic acid,0,436.416,4.279,0.0,93.43,4.0,7.0
isoflurane,1,302.762,0.913,2.0,93.47,2.0,6.0
benzocaine,1,292.295,0.85,2.0,110.37,2.0,6.0
oxandrolone,0,371.414,2.511,0.0,85.62,4.0,5.0
sulfamethoxazole,1,328.342,0.643,1.0,99.13,3.0,5.0
terbinafine,1,343.426,0.845,1.0,87.85,3.0,5.0
physostigmine,1,395.908,2.88,1.0,78.62,3.0,7.0
dexamethasone,0,299.392,0.797,1.0,78.62,2.0,6.0
propofol,1,381.881,2.632,1.0,78.62,3.0,6.0
ampicillin,0,331.437,2.279,1.0,69.39,3.0,5.0
penicillin g,0,361.85,3.436,0.0,67.16,3.0,5.0
nelfinavir,0,390.457,2.661,1.0,89.9,3.0,7.0
disulfiram,1,314.359,0.923,1.0,89.9,2.0,6.0
probenecid,0,410.875,3.006,1.0,89.9,3.0,7.0
nandrolone,0,239.202,0.641,1.0,66.84,2.0,3.0
minocycline,1,586.485,5.257,1.0,171.22,4.0,9.0
stavudine,1,384.476,3.285,1.0,60.03,3.0,8.0
ropinirole,1,385.46,4.053,1.0,66.02,3.0,5.0
streptomycin,0,373.518,4.588,1.0,47.56,2.0,8.0
lorazepam,1,576.554,4.712,0.0,125.05,5.0,8.0
etacrynicacid,0,548.544,4.795,0.0,107.98,5.0,8.0
ethosuximide,1,364.397,4.307,0.0,53.99,4.0,4.0
carteolol,1,365.385,3.702,0.0,66.88,4.0,4.0
hydroflumethiazide,0,451.523,3.227,1.0,88.18,4.0,6.0
diphenhydramine,1,427.526,4.034,0.0,77.69,3.0,9.0
doxorubicin,0,403.891,3.948,1.0,77.25,3.0,8.0
norepinephrine,0,413.499,3.612,1.0,86.48,3.0,9.0
rescinnamine,1,380.444,3.125,1.0,66.15,4.0,5.0
cladribine,1,363.91,4.331,1.0,38.33,2.0,9.0
econazole,0,400.522,4.526,0.0,32.78,4.0,6.0
omeprazole,0,401.528,4.356,1.0,56.79,3.0,7.0
gabapentin,1,379.46,3.197,0.0,62.74,4.0,4.0
levorphanol,1,353.805,5.121,1.0,51.47,3.0,5.0
phenoxybenzamine,0,476.507,2.493,1.0,120.47,4.0,7.0
phenobarbital,1,476.507,2.493,1.0,120.47,4.0,7.0
cetirizine,0,376.384,1.773,3.0,100.65,3.0,6.0
mifepristone,0,353.382,1.375,2.0,101.64,4.0,5.0
cefotetan,0,317.345,1.629,2.0,97.48,3.0,5.0
phencyclidine,1,292.379,1.671,2.0,63.61,3.0,5.0
hydrochlorothiazide,0,345.374,2.252,3.0,97.47,3.0,6.0
s-etodolac,0,467.43,2.323,2.0,155.36,4.0,6.0
chlorambucil,0,488.492,4.778,0.0,89.52,5.0,6.0
nevirapine,1,346.404,2.644,1.0,80.67,3.0,5.0
protriptyline,1,337.828,2.616,1.0,69.39,3.0,4.0
pentobarbital,1,380.897,2.192,2.0,95.41,3.0,6.0
lomefloxacin,0,362.403,1.698,2.0,100.9,3.0,6.0
labetalol,0,332.425,1.291,2.0,95.41,3.0,5.0
ephedrine,0,381.906,3.191,1.0,69.39,3.0,5.0
methotrexate,0,347.461,2.537,1.0,69.39,3.0,5.0
naloxone,1,332.421,2.552,1.0,63.6,3.0,5.0
nitrazepam,1,317.41,2.271,1.0,69.39,3.0,4.0
miconazole,0,371.414,2.538,1.0,104.46,3.0,5.0
pirbuterol,0,382.865,2.259,2.0,83.83,3.0,6.0
clotrimazole,0,266.322,0.427,1.0,93.18,2.0,3.0
mianserin,1,286.283,2.398,0.0,65.74,3.0,2.0
papaverine,0,347.823,3.428,0.0,67.16,3.0,4.0
methylphenidate,1,355.415,2.652,0.0,84.23,3.0,5.0
olanzapine,1,372.833,3.322,0.0,90.95,3.0,4.0
pentostatin,1,380.897,2.192,2.0,95.41,3.0,6.0
imipramine,1,341.388,2.344,0.0,84.23,3.0,5.0
dapsone,0,285.365,0.143,2.0,89.62,2.0,5.0
dihydrocodeine,1,300.332,0.269,2.0,100.9,2.0,5.0
clofazimine,0,281.333,0.708,1.0,87.39,2.0,4.0
morphine,1,327.405,3.083,0.0,67.16,3.0,4.0
prednisolone,0,352.839,2.897,1.0,63.6,3.0,5.0
droperidol,1,241.312,0.533,1.0,69.39,2.0,3.0
pergolide,1,381.881,2.226,2.0,89.62,3.0,6.0
oxymorphone,1,362.838,2.509,1.0,93.18,3.0,4.0
prednisone,0,381.837,2.07,2.0,106.69,3.0,5.0
oxaprozin,0,377.849,2.791,1.0,87.39,3.0,5.0
mepyramine,1,465.955,3.751,1.0,98.77,3.0,6.0
loratadine,0,333.409,1.325,2.0,89.62,3.0,5.0
clomipramine,1,295.316,0.8,1.0,104.46,2.0,4.0
levofloxacin,1,525.513,4.611,1.0,113.15,6.0,5.0
dopamine,0,402.878,2.936,3.0,87.66,3.0,4.0
estrone,0,412.442,1.38,3.0,106.12,4.0,5.0
midazolam,1,403.478,5.247,1.0,60.7,4.0,5.0
trimipramine,1,341.319,2.655,1.0,83.09,4.0,4.0
oxycodone,1,353.33,2.239,1.0,98.6,4.0,2.0
mesna,0,406.434,4.019,0.0,74.97,4.0,6.0
estazolam,1,329.465,3.926,1.0,38.33,2.0,9.0
phenytoin,1,363.91,4.331,1.0,38.33,2.0,9.0
cimetidine,0,343.492,4.066,1.0,38.33,2.0,9.0
dexrazoxane,0,368.477,3.348,0.0,42.01,3.0,5.0
risperidone,1,293.3,0.635,0.0,93.46,3.0,3.0
nicotine,1,255.364,1.099,1.0,60.16,2.0,3.0
secobarbital,1,298.364,-0.17,2.0,104.64,3.0,4.0
streptozotocin,0,285.321,-0.384,2.0,98.85,3.0,3.0
cytarabine,1,221.281,1.337,0.0,57.93,2.0,2.0
ribavirin,1,290.3,0.959,0.0,100.18,3.0,2.0
sevoflurane,1,299.348,-0.137,2.0,98.85,3.0,4.0
kanamycin,0,241.312,-0.113,2.0,80.39,2.0,3.0
triamcinolone,0,324.45,0.923,2.0,78.35,2.0,7.0
polythiazide,0,278.356,0.405,1.0,61.46,3.0,3.0
ceftazidime,1,365.433,2.485,1.0,75.43,4.0,4.0
metronidazole,1,414.549,5.934,1.0,45.48,4.0,6.0
methane,1,406.36,3.414,3.0,91.57,3.0,4.0
homatropine,0,289.766,3.272,0.0,46.09,2.0,3.0
spironolactone,0,353.422,3.476,1.0,75.48,3.0,6.0
phenoxymethylpenicillin,0,346.818,1.667,2.0,76.02,3.0,4.0
androsan,0,500.507,3.159,2.0,119.85,6.0,4.0
ranitidine,0,300.266,2.118,0.0,74.97,4.0,1.0
cortisone,0,405.571,3.715,1.0,36.33,4.0,6.0
oxytetracycline,0,161.208,1.307,2.0,62.23,1.0,2.0
chlorthalidone,0,327.493,4.803,1.0,29.1,2.0,6.0
reserpine,1,346.452,2.322,2.0,79.29,3.0,6.0
ethambutol,0,315.438,3.672,1.0,38.33,2.0,8.0
clobazam,1,329.465,3.812,1.0,38.33,2.0,8.0
methylprednisolone,0,361.441,4.712,1.0,51.47,3.0,7.0
isopromethazine,1,348.786,3.754,1.0,81.47,2.0,6.0
acebutolol,1,330.453,1.839,2.0,86.18,3.0,5.0
p-acetamidophenol,1,330.453,1.839,2.0,86.18,3.0,5.0
amifostine,0,331.393,1.717,2.0,97.46,3.0,4.0
apomorphine,1,415.511,3.397,1.0,89.54,3.0,5.0
atenolol,1,331.462,2.837,1.0,60.16,3.0,4.0
azelaicacid,0,300.379,2.75,0.0,51.21,3.0,4.0
albendazole,1,301.411,2.51,1.0,60.16,3.0,4.0
alprazolam,1,317.41,1.625,2.0,80.39,3.0,4.0
zonisamide,1,396.6,5.591,1.0,32.34,3.0,7.0
delavirdine,0,401.919,4.838,0.0,59.23,3.0,6.0
trifluoperazine,1,387.892,4.495,1.0,68.02,3.0,6.0
thiotepa,1,369.53,5.203,1.0,38.33,3.0,4.0
tamoxifen,1,371.546,5.012,1.0,38.33,2.0,9.0
trimetrexate,0,432.343,4.605,1.0,68.02,3.0,6.0
flucloxacillin,0,313.466,4.663,1.0,29.1,2.0,6.0
flucytosine,1,313.466,4.663,1.0,29.1,2.0,6.0
didanosine,0,260.362,2.871,1.0,41.99,2.0,4.0
daunorubicin,0,327.493,4.803,1.0,29.1,2.0,6.0
terconazole,0,337.427,2.65,2.0,83.56,3.0,6.0
fentanyl,1,355.503,4.896,1.0,38.33,3.0,5.0
amitriptyline,1,400.5,4.555,1.0,81.47,3.0,6.0
amobarbital,1,400.5,4.555,1.0,81.47,3.0,6.0
buprenorphine,1,355.503,4.894,1.0,38.33,3.0,4.0
hydroxycarbamide,1,387.892,4.497,1.0,68.02,3.0,7.0
loperamide,0,377.509,5.178,1.0,42.24,3.0,8.0
amantadine,1,374.462,3.72,1.0,81.47,2.0,9.0
bretylium,0,329.465,4.059,1.0,38.33,2.0,7.0
fluoxetine,1,286.31,2.094,1.0,72.11,3.0,2.0
oxazepam,1,334.445,1.746,2.0,80.04,3.0,6.0
metoprolol,1,319.408,3.941,0.0,38.13,4.0,2.0
indomethacin,0,258.321,2.105,1.0,62.12,2.0,5.0
praziquantel,1,374.393,0.89,3.0,126.23,3.0,6.0
ketorolac,0,409.442,1.733,2.0,118.89,4.0,6.0
pravastatin,0,374.393,0.89,3.0,126.23,3.0,6.0
ketoconazole,0,409.442,1.733,2.0,118.89,4.0,6.0
chlorpropamide,0,351.88,3.182,1.0,60.16,3.0,4.0
chlorothiazide,0,351.88,3.182,1.0,60.16,3.0,4.0
